α,β,π_bar,iterations_until_convergence,is_converged
0.19,2.5000000000000004e-7,0.3085613259926311,24128715,"Bool[1, 1]"
0.21,2.4500000000000003e-6,0.3313179256232564,3131435,"Bool[1, 1]"
0.1275,1.2250000000000001e-6,0.3085613259926311,5970548,"Bool[1, 1]"
0.05,2.15e-6,0.3251111308962901,2972442,"Bool[1, 1]"
0.23,2.3000000000000004e-6,0.28623422669719667,3786963,"Bool[1, 1]"
0.2325,2.075e-6,0.3085613259926311,3739070,"Bool[1, 1]"
0.165,2.025e-6,0.2925314726519343,2674202,"Bool[1, 1]"
0.1725,1.9000000000000002e-6,0.29783018166035957,5082675,"Bool[1, 1]"
0.2425,1.2500000000000002e-7,0.2857990272661979,53787938,"Bool[1, 1]"
0.21,2.35e-6,0.3176096401737039,2641050,"Bool[1, 1]"
0.125,6.750000000000001e-7,0.2925314726519343,8636975,"Bool[1, 1]"
0.17,2.0000000000000002e-7,0.2925314726519343,23566135,"Bool[1, 1]"
0.1475,2.125e-6,0.3338929232567875,3559098,"Bool[1, 1]"
0.0975,2.425e-6,0.3138861092237984,1803472,"Bool[1, 1]"
0.055,1.5750000000000002e-6,0.3254680529240434,3667010,"Bool[1, 1]"
0.185,1.0000000000000001e-7,0.3039013547241514,45243252,"Bool[1, 1]"
0.2325,1.9000000000000002e-6,0.3250258838417641,3212826,"Bool[1, 1]"
0.06,1.6500000000000003e-6,0.3367366759301762,3143386,"Bool[1, 1]"
0.015,5.5e-7,0.3251270869014805,7231234,"Bool[1, 1]"
0.0325,2.1000000000000002e-6,0.33260542444002195,2643244,"Bool[1, 1]"
0.025,1.4000000000000001e-6,0.32429417454337905,3381899,"Bool[1, 1]"
0.2425,2.75e-7,0.2857990272661979,23489919,"Bool[1, 1]"
0.1625,1.525e-6,0.3085613259926311,3576022,"Bool[1, 1]"
0.035,2.1000000000000002e-6,0.3265296115415379,2420475,"Bool[1, 1]"
0.1625,1.525e-6,0.3271166203152921,3966871,"Bool[1, 1]"
0.155,1.5500000000000002e-6,0.3138861092237984,3713265,"Bool[1, 1]"
0.235,1.125e-6,0.3020853082741759,7732747,"Bool[1, 1]"
0.0975,1.6250000000000001e-6,0.2857990272661979,4169172,"Bool[1, 1]"
