α,β,π_bar,iterations_until_convergence,is_converged
0.07,1.94,0.3083370447086018,200000,"Bool[0, 0]"
0.1,1.48,0.2886178447732106,200000,"Bool[0, 0]"
0.05,0.16,0.25076761468625675,200000,"Bool[0, 0]"
0.25,1.2,0.28915672899300643,200000,"Bool[0, 0]"
0.0825,0.68,0.2973171323018761,200000,"Bool[0, 0]"
0.1675,0.24,0.25495055126342336,200000,"Bool[0, 0]"
0.0875,1.82,0.3044893978976181,200000,"Bool[0, 0]"
0.13,0.06,0.23020280078020267,200000,"Bool[0, 0]"
0.1825,1.52,0.29522696823654304,200000,"Bool[0, 0]"
0.1225,1.54,0.25941978600301074,200000,"Bool[0, 0]"
0.1725,1.1,0.2575285042789517,200000,"Bool[0, 0]"
0.1875,0.6,0.2369763887619587,200000,"Bool[0, 0]"
0.2225,0.28,0.2596181149167538,200000,"Bool[0, 0]"
0.2225,0.5,0.26822228314209795,200000,"Bool[0, 0]"
0.035,0.42,0.28638945354683254,200000,"Bool[0, 0]"
0.0775,0.8,0.267056262719899,200000,"Bool[0, 0]"
0.055,0.72,0.26240328016837144,200000,"Bool[0, 0]"
0.2425,1.88,0.32862716144948306,200000,"Bool[0, 0]"
0.075,0.04,0.289429802160596,200000,"Bool[0, 0]"
0.1725,1.62,0.230667111090205,200000,"Bool[0, 0]"
0.175,1.66,0.32049443658349297,200000,"Bool[0, 0]"
0.135,0.34,0.24056290370477112,200000,"Bool[0, 0]"
0.2025,1.84,0.2281622229607117,200000,"Bool[0, 0]"
0.035,1.68,0.23979193503703383,200000,"Bool[0, 0]"
0.12,0.56,0.2956032811618774,200000,"Bool[0, 0]"
0.1575,0.92,0.28836830208620645,200000,"Bool[0, 0]"
0.175,1.2,0.22508735306596012,200000,"Bool[0, 0]"
0.21,1.2,0.2616090258766222,200000,"Bool[0, 0]"
0.2275,0.62,0.2832564363246994,200000,"Bool[0, 0]"
0.2175,0.7,0.30105204556006504,200000,"Bool[0, 0]"
0.1,0.96,0.2579573238842469,200000,"Bool[0, 0]"
0.035,0.1,0.2469255648030424,200000,"Bool[0, 0]"
0.1025,1.28,0.31710205173054756,200000,"Bool[0, 0]"
0.13,1.88,0.298078791794573,200000,"Bool[0, 0]"
0.225,1.88,0.325051616852544,200000,"Bool[0, 0]"
0.12,1.56,0.2836250471270256,200000,"Bool[0, 0]"
0.135,0.4,0.24884292697080607,200000,"Bool[0, 0]"
0.17,1.22,0.30357078663881093,200000,"Bool[0, 0]"
0.17,0.38,0.25817678896586616,200000,"Bool[0, 0]"
0.115,0.94,0.26050323019367744,200000,"Bool[0, 0]"
0.245,0.94,0.3025661412244388,200000,"Bool[0, 0]"
0.115,0.16,0.2922643768126972,200000,"Bool[0, 0]"
0.1375,0.32,0.23393554549202156,200000,"Bool[0, 0]"
0.0025,1.92,0.253150240742247,200000,"Bool[0, 0]"
0.105,0.1,0.28687287647971227,200000,"Bool[0, 0]"
0.095,1.14,0.2398540021249579,200000,"Bool[0, 0]"
